sgRNA	Gene	plasmid	ESC1
chr16:90386616-90386639	HUNK	65.48699535071448	98.97145819395122
chr2:3361635-3361658	OLAH	184.12285649331318	249.0600431474157
chr18:10705997-10706020	ABHD3	565.6557859279105	424.16339225979095
chr9:107549104-107549127	ZMYND10	87.31599380095264	87.00787533534174
chr11:53072448-53072471	FSTL4	477.39070523781714	817.8740281522123
chr7:14111483-14111506	SULT2A3	243.91533050918292	271.89961042294294
chr14:18222117-18222140	NR1D2	178.42833515846843	231.65846808034738
chr14:20588153-20588176	USP54	441.32540345046715	449.1781564187017
chr9:38403316-38403339	OLFR147	259.1007207354355	219.69488522173788
chr13:93663310-93663333	BHMT2	70.23242979641843	112.02263949425249
chr17:37299870-37299893	OLFR101	154.7011629299487	167.49016002053284
chr2:79898064-79898087	PDE1A	176.53016138018685	274.0748073063265
chr2:85785984-85786007	OLFR1015	164.19203182135658	278.42520107309355
chr9:21290824-21290847	CDKN2D	69.28334290727764	46.766732992746185
chrX:37218232-37218255	RHOX1	70.23242979641843	61.993111176430986
chr13:30202351-30202374	MBOAT1	166.09020559963818	190.32972729606004
chr2:155834313-155834336	FAM83C	51.25069201360264	108.75984416917717
chr8:19749428-19749451	4930467E23RIK	150.90481537338553	174.01575067068347
chr1:180074616-180074639	CDC42BPA	620.7028254980763	1230.0738375533938
chr7:92286485-92286508	DLG2	260.0498076245763	337.1555169244492
chr2:79878165-79878188	PDE1A	131.92307759056973	216.43208989666257
chrX:37901344-37901367	RHOX9	145.2102940385408	210.9940976882037
chr2:178414048-178414071	PPP1R3D	93.95960202493816	107.67224572748539
chr14:25646744-25646767	ZMIZ1	102.50138402720528	7.6131890918424014
chr7:137387561-137387584	9430038I01RIK	163.2429449322158	306.7027605570796
chrX:72382977-72383000	MAGEA10	183.17376960417238	241.4468540555733
chr2:87737949-87737972	OLFR1138	142.36303337111843	238.184058730498
chr18:40258784-40258807	KCTD16	153.7520760408079	121.81102546947842
chr1:160948340-160948363	RC3H1	147.10846781682238	134.86220676977968
chr4:145154900-145154923	VPS13D	220.18815828066317	27.189961042294293
chr11:97673703-97673726	MLLT6	196.46098605214343	203.3809085963613
chr9:76056200-76056223	HMGCLL1	89.21416757923421	73.95669403504047
chr2:112156052-112156075	OLFR1318	86.36690691181185	102.23425351902654
chr11:82061759-82061782	CCL11	131.92307759056973	152.26378183684804
chr18:37334749-37334772	PCDHB6	182.22468271503158	328.454729390915
chr11:101095012-101095035	PSMC3IP	284.72606674223687	312.1407527655385
chr9:38403310-38403333	OLFR147	169.88655315620133	258.8484291226417
chr3:68694248-68694271	IL12A	85.41782002267105	128.33661611962907
chr15:96420553-96420576	SCAF11	61.69064779415132	25.014764158910747
chr18:73970135-73970158	MAPK4	221.13724516980398	131.59941144470437
chr10:128641173-128641196	IKZF4	149.95572848424476	55.46752052628035
chr8:70602452-70602475	SSBP4	325.5368029752908	319.7539418573809
chr19:5729262-5729285	FAM89B	37.01438867649079	44.591536109362636
chr11:5837582-5837605	POLM	27.523519785082897	107.67224572748539
chr4:14795861-14795884	LRRC69	382.4820163237382	354.55709199151755
chr4:43770551-43770574	OLFR159	273.33702407254736	378.48425770873655
chr18:67644403-67644426	PSMG2	99.6541233597829	66.34350494319807
chr3:26777524-26777547	SPATA16	112.94133980775395	109.84744261086894
chr5:138455951-138455974	ZFP157	63.5888215724329	70.69389870996515
chr11:115604741-115604764	MRPS7	30.370780452505265	9.788385975225944
chr5:93202303-93202326	CCNI	94.90868891407895	41.32874078428733
chrX:16894433-16894456	NDP	294.21693563364477	350.2066982247505
chr12:105812280-105812303	PAPOLA	81.6214724661079	32.62795325075315
chr11:49261216-49261239	MGAT1	72.1306035747	140.30019897823854
chr7:103906915-103906938	OLFR65	139.51577270369606	217.51968833835434
chr10:13182871-13182894	LTV1	130.02490381228816	299.0895714652372
chr2:143546642-143546665	PCSK2	46.50525756789869	88.0954737770335
chr14:56261139-56261162	GZMB	57.89430023758816	72.8690955933487
chr5:142960648-142960671	FSCN1	32.268954230786846	22.839567275527205
chr10:75910197-75910220	SMARCB1	54.097952681025006	42.416339225979094
chr1:151410784-151410807	1200016B10RIK	117.6867742534579	128.33661611962907
chr2:76375409-76375432	RBM45	70.23242979641843	60.90551273473921
chr1:172529849-172529872	CCDC19	179.37742204760923	300.17716990692895
chr6:34356332-34356355	AKR1B8	55.99612645930658	117.46063170271134
chr4:111980346-111980369	SKINT7	355.90758342779606	469.84252681084536
chr18:34596055-34596078	4933408B17RIK	129.07581692314739	88.0954737770335
chr7:92658802-92658825	PCF11	188.86829093901713	191.4173257377518
chr19:13095203-13095226	OLFR1457	136.66851203627368	162.05216781207398
chr5:143244363-143244386	ZFP12	45.556170678757894	65.2559065015063
chr8:107057127-107057150	NIP7	82.57055935524869	106.58464728579362
chr2:125249171-125249194	DUT	124.33038247744344	1.0875984416917717
chr2:126738052-126738075	USP8	461.2562281224237	279.51279951478534
chrX:13107830-13107853	USP9X	159.44659737565263	146.82578962838917
chr18:62653467-62653490	SPINK10	142.36303337111843	54.379922084588586
chr18:73935002-73935025	MAPK4	762.116771980054	528.5728426622011
chr11:69359996-69360019	CHD3	88.26508069009343	38.06594545921201
chr5:29292921-29292944	LMBR1	101.55229713806447	159.87697092869044
chr3:107967592-107967615	GSTM3	107.24681847290921	112.02263949425249
chr12:113000223-113000246	BRF1	82.57055935524869	48.94192987612973
chr10:86344003-86344026	TIMP3	396.71831966085	551.4124099377283
chr14:21007236-21007259	VCL	117.6867742534579	43.50393766767087
chr9:107901200-107901223	MON1A	109.1449922511908	190.32972729606004
chr9:37918784-37918807	OLFR878	148.05755470596316	202.29331015466954
chr9:62273337-62273360	SPESP1	125.27946936658422	145.7381911866974
chr9:48392733-48392756	FAM55D	105.34864469462764	47.85433143443795
chr15:51799261-51799284	EIF3H	81.6214724661079	11.963582858609488
chr14:99091373-99091396	DIS3	90.163254468375	83.74508001026642
chrX:37218216-37218239	RHOX1	96.80686269236054	101.14665507733477
chr6:49406802-49406825	STK31	16.134477115393423	58.73031585135567
chr2:87034097-87034120	OLFR1105	160.39568426479343	110.9350410525607
chr3:41730289-41730312	SCLT1	86.36690691181185	109.84744261086894
chr4:42956787-42956810	DNAJB5	30.370780452505265	19.57677195045189
chr6:58215396-58215419	VMN1R27	67.38516912899605	25.014764158910747
chr4:116992659-116992682	UROD	25.62534600680132	3.262795325075315
chr5:145030535-145030558	GM4871	114.83951358603554	192.50492417944358
chr3:95292171-95292194	FAM63A	101.55229713806447	131.59941144470437
chr2:112156050-112156073	OLFR1318	167.03929248877895	135.94980521147147
chr7:103320865-103320888	OLFR597	111.04316602947237	125.07382079455374
chr19:13095151-13095174	OLFR1457	197.41007294128423	327.3671309492233
chr13:83635460-83635483	MEF2C	68.33425601813684	115.28543481932779
chr17:37952694-37952717	OLFR761	315.0968471947421	613.4055211141592
chr4:108848368-108848391	KTI12	17.08356400453421	0.0
chr19:28892826-28892849	SLC1A1	102.50138402720528	108.75984416917717
chr17:34242523-34242546	H2-OB	62.63973468329211	128.33661611962907
chr13:21347155-21347178	OLFR1367	108.19590536205001	203.3809085963613
chr6:28244398-28244421	ZFP800	123.38129558830263	19.57677195045189
chr3:30896223-30896246	GPR160	835.1964624438948	1097.3868276669975
chr13:100127857-100127880	SMN1	116.73768736431711	19.57677195045189
chr17:36965187-36965210	ZNRD1AS	191.71555160643948	139.21260053654677
chr15:51799308-51799331	EIF3H	158.49751048651186	33.71555169244492
chr2:140159715-140159738	ESF1	100.60321024892369	127.24901767793729
chr10:20233376-20233399	MTAP7	45.556170678757894	19.57677195045189
chr9:50621614-50621637	PIH1D2	99.6541233597829	152.26378183684804
chr9:110437381-110437404	KLHL18	46.50525756789869	79.39468624349934
chr2:181382799-181382822	LIME1	70.23242979641843	34.80315013413669
chr15:76602174-76602197	CPSF1	63.5888215724329	22.839567275527205
chr6:49417283-49417306	STK31	75.92695113126317	54.379922084588586
chr9:95967787-95967810	XRN1	689.986168405354	374.1338639419695
chr3:95292198-95292221	FAM63A	109.1449922511908	65.2559065015063
chr8:13046079-13046102	F10	76.87603802040395	110.9350410525607
chr2:90037342-90037365	OLFR1265	57.89430023758816	61.993111176430986
chr5:105888572-105888595	ZFP326	170.8356400453421	155.52657716192334
chr13:24820855-24820878	ACOT13	322.68954230786846	326.2795325075315
chr18:24619369-24619392	ELP2	186.02103027159475	29.365157925677835
chr12:105804997-105805020	PAPOLA	194.56281227386185	122.8986239111702
chr19:5729358-5729381	FAM89B	746.9313817538014	883.1299346537186
chr10:79880541-79880564	PRTN3	74.97786424212238	18.489173508760118
chr4:150999097-150999120	UTS2	74.02877735298158	85.92027689364996
chr10:85146781-85146804	CRY1	111.99225291861316	232.74606652203914
chrX:62290824-62290847	4933402E13RIK	203.10459427612895	369.78347017520235
chr6:124832179-124832202	CDCA3	86.36690691181185	46.766732992746185
chr1:37950655-37950678	LYG1	81.6214724661079	151.17618339515627
chr19:4189856-4189879	TBC1D10C	223.98450583722632	286.03839016493595
chr11:97706815-97706838	PSMB3	138.56668581455529	61.993111176430986
chr1:193328779-193328802	LAMB3	57.89430023758816	109.84744261086894
chr6:91989049-91989072	FGD5	100.60321024892369	181.62893976252587
chr15:5212054-5212077	TTC33	76.87603802040395	43.50393766767087
chr3:107299193-107299216	SLC16A4	478.33979212695795	667.7854431987478
chr7:24542198-24542221	2310033E01RIK	16.134477115393423	6.52559065015063
