Gene	sgRNA	HL60|beta	HL60|z	HL60|p-value	HL60|fdr	HL60|wald-p-value	HL60|wald-fdr	KBM7|beta	KBM7|z	KBM7|p-value	KBM7|fdr	KBM7|wald-p-value	KBM7|wald-fdr
C10orf82	10	0.13607	1.1361	0.299	0.7659	0.25589	0.62873	0.19823	1.6554	0.162	0.44384	0.097836	0.26731
C11orf49	10	-0.18741	-1.1001	0.364	0.80889	0.27129	0.63875	-0.016336	-0.096138	0.862	0.939	0.92341	0.9626
C11orf53	10	-0.011134	-0.080109	0.913	0.97647	0.93615	0.98439	0.19197	1.3827	0.174	0.46524	0.16676	0.35565
C11orf54	10	0.039171	0.33246	0.689	0.9478	0.73954	0.91189	9.5248e-05	0.00080856	0.8	0.91743	0.99935	1
C11orf74	10	0.047269	0.27443	0.658	0.94676	0.78375	0.92972	0.065837	0.38253	0.517	0.74496	0.70207	0.82898
C11orf86	10	-0.030695	-0.29585	0.999	0.999	0.76735	0.92899	-0.08717	-0.8402	0.842	0.93452	0.4008	0.59377
C11orf91	10	-0.033945	-0.3092	0.988	0.99597	0.75717	0.92338	-0.029773	-0.27123	0.923	0.95855	0.78621	0.88239
C12orf23	10	-0.063082	-0.35271	0.856	0.95536	0.72431	0.90347	-0.15975	-0.89311	0.577	0.78755	0.3718	0.56814
C12orf29	10	0.18718	1.398	0.169	0.62825	0.16211	0.51217	0.28036	2.0945	0.059	0.2757	0.036216	0.14426
C12orf5	10	0.20028	0.41538	0.152	0.62041	0.67786	0.89669	-0.086695	-0.17949	0.846	0.93488	0.85755	0.92309
C14orf105	10	0.22521	1.5114	0.119	0.59524	0.1307	0.46888	0.27391	1.8388	0.067	0.30045	0.065942	0.20352
C14orf159	10	0.0062067	0.038031	0.838	0.94921	0.96966	0.98991	0.045174	0.27691	0.596	0.8	0.78185	0.88046
C14orf1	10	0.032269	0.27631	0.719	0.94921	0.78231	0.92972	-0.2123	-1.817	0.415	0.68033	0.069216	0.21102
C15orf27	10	0.090067	0.48837	0.457	0.87571	0.62529	0.86605	0.035583	0.19299	0.647	0.83484	0.84696	0.91697
C15orf40	10	-0.04982	-0.41437	0.913	0.97647	0.6786	0.89669	-0.16142	-1.3425	0.575	0.78755	0.17944	0.36999
C15orf43	10	-0.29017	-1.9959	0.155	0.625	0.045945	0.30323	-0.16818	-1.1573	0.554	0.77483	0.24714	0.45364
C16orf11	10	0.24795	2.3987	0.089	0.54601	0.016456	0.21639	0.19007	1.8388	0.179	0.4723	0.065941	0.20352
C16orf74	10	0.12401	0.68073	0.335	0.78923	0.49604	0.80002	0.13236	0.72717	0.326	0.61742	0.46712	0.64968
C16orf78	10	0.08723	0.55973	0.468	0.87805	0.57566	0.84528	0.35642	2.2909	0.016	0.12598	0.021968	0.10461
C16orf87	10	0.10528	1.2495	0.4	0.82992	0.21148	0.5826	0.059322	0.70415	0.542	0.76231	0.48134	0.66392
C17orf53	10	-0.084038	-0.86731	0.76	0.94921	0.38577	0.74474	-0.025494	-0.26316	0.897	0.95127	0.79243	0.88738
C17orf58	10	-0.45616	-3.3737	0.019	0.26761	0.00074175	0.042946	-0.13815	-1.023	0.644	0.83312	0.3063	0.50797
C17orf59	10	0.095123	0.99971	0.439	0.86417	0.31745	0.67977	0.050126	0.52684	0.579	0.78755	0.5983	0.74465
C17orf62	10	-0.098529	-0.74212	0.7	0.94921	0.45802	0.79259	0.0017622	0.01328	0.793	0.91359	0.9894	1
C17orf64	10	0.074293	0.7688	0.527	0.89626	0.44201	0.78307	0.15572	1.6118	0.252	0.54902	0.10701	0.27698
C17orf67	10	-0.087745	-0.70996	0.747	0.94921	0.47773	0.79809	0.12277	0.99404	0.353	0.6413	0.3202	0.52065
C17orf74	10	-0.099046	-1.0651	0.698	0.94921	0.28683	0.65395	0.033629	0.36166	0.657	0.83801	0.71761	0.83919
C17orf80	10	0.21791	1.4144	0.127	0.59912	0.15726	0.51057	0.31359	2.0368	0.039	0.22674	0.041669	0.15328
C18orf25	10	0.089839	0.71482	0.457	0.87571	0.47472	0.79809	-0.0090308	-0.071855	0.835	0.93326	0.94272	0.97066
C18orf54	10	0.26833	1.5275	0.071	0.5035	0.12663	0.46727	0.10263	0.58412	0.402	0.66889	0.55914	0.71777
C19orf25	10	-0.12777	-0.87266	0.57	0.92834	0.38285	0.74474	-0.33316	-2.2754	0.156	0.43454	0.022883	0.10642
C19orf47	10	-0.083322	-0.57914	0.762	0.94921	0.56249	0.83829	0.10924	0.75972	0.387	0.66495	0.44742	0.63195
C19orf67	10	0.17918	1.1025	0.191	0.65862	0.27023	0.63875	0.31728	1.9565	0.037	0.22674	0.050406	0.17145
C19orf80	10	-0.091028	-0.71842	0.739	0.94921	0.4725	0.79809	-0.061748	-0.48736	0.942	0.97013	0.626	0.76091
C1orf101	10	0.12725	0.94781	0.327	0.78417	0.34323	0.70606	0.11838	0.88178	0.362	0.64875	0.37789	0.57174
C1orf115	10	-0.14039	-1.24	0.524	0.89608	0.21498	0.58865	0.15253	1.3477	0.264	0.55932	0.17776	0.36804
C1orf173	10	0.0077935	0.076224	0.836	0.94921	0.93924	0.98556	0.0080637	0.078889	0.763	0.88928	0.93712	0.96713
C1orf174	10	0.24894	2.0704	0.086	0.5375	0.038414	0.28405	0.24625	2.0483	0.09	0.33708	0.04053	0.15294
C1orf216	10	0.068938	0.70301	0.554	0.91901	0.48205	0.79809	0.091191	0.93006	0.439	0.69778	0.35234	0.55053
C1orf27	10	0.064647	0.37439	0.575	0.92892	0.70812	0.90029	-0.27292	-1.5766	0.263	0.55932	0.11489	0.28508
C1orf51	10	-0.098661	-0.74065	0.7	0.94921	0.45891	0.79259	-0.086005	-0.64572	0.847	0.93488	0.51846	0.69119
C20orf194	10	-0.22226	-1.7364	0.283	0.76486	0.0825	0.40048	-0.13094	-1.0235	0.667	0.84752	0.30606	0.50797
C20orf201	10	-0.086598	-0.70455	0.752	0.94921	0.48109	0.79809	0.082018	0.66875	0.469	0.71277	0.50365	0.68246
C20orf85	10	0.14898	1.3009	0.261	0.74095	0.19329	0.55863	0.22772	1.9886	0.12	0.3871	0.046747	0.16636
C22orf15	10	0.14354	1.1701	0.272	0.74387	0.24197	0.61413	0.24171	1.9704	0.098	0.35252	0.048788	0.16888
C22orf31	10	0.066771	0.55007	0.563	0.92447	0.58227	0.84755	0.13529	1.115	0.319	0.61657	0.26486	0.46831
C2CD4B	10	-0.14974	-1.0752	0.483	0.88321	0.28229	0.65195	0.12231	0.87901	0.354	0.6413	0.37939	0.57174
C2orf57	10	0.11963	1.2842	0.348	0.79271	0.19906	0.56719	0.039851	0.42781	0.629	0.8233	0.66879	0.79999
C3orf20	10	0.020678	0.17335	0.78	0.94921	0.86238	0.96092	0.19274	1.6166	0.172	0.46113	0.10597	0.27698
C3orf37	10	0.062742	0.52472	0.589	0.93651	0.59978	0.85536	-0.42546	-3.5545	0.086	0.3295	0.00037871	0.004983
C3orf70	10	0.14719	1.4632	0.264	0.74095	0.14341	0.48726	-0.22877	-2.2726	0.363	0.64937	0.023048	0.10642
C4orf32	10	0.16743	1.1549	0.215	0.68454	0.24812	0.61722	0.17943	1.2378	0.202	0.50124	0.21578	0.41818
C5orf47	10	0.16635	1.3611	0.219	0.68652	0.17347	0.53239	0.2791	2.2841	0.059	0.2757	0.022366	0.10541
C5orf51	10	0.18642	1.5148	0.17	0.62963	0.12982	0.46888	0.1398	1.1361	0.306	0.60714	0.25592	0.45914
C6orf47	10	0.19352	1.2611	0.159	0.62598	0.20726	0.57518	0.33164	2.1621	0.027	0.17881	0.03061	0.1291
C6orf57	10	-0.10418	-0.59608	0.674	0.9478	0.55113	0.83647	-0.84214	-4.809	0.002	0.034483	1.5172e-06	5.4184e-05
C6orf89	10	-0.15175	-1.3423	0.479	0.88321	0.1795	0.53748	0.10979	0.97161	0.386	0.66437	0.33125	0.52915
C6orf99	10	-0.091192	-0.84062	0.737	0.94921	0.40056	0.75947	0.040369	0.3724	0.629	0.8233	0.70959	0.83383
C8orf22	10	-0.15655	-1.5316	0.462	0.87571	0.12561	0.46727	-0.30157	-2.95	0.211	0.51905	0.0031773	0.025831
C8orf34	10	0.07761	0.77451	0.514	0.8931	0.43863	0.78048	0.034849	0.3478	0.652	0.83504	0.72799	0.84749
C9orf3	10	0.038225	0.4156	0.695	0.94921	0.6777	0.89669	0.19091	2.0759	0.177	0.47074	0.037907	0.14693
CABIN1	10	0.15998	1.4337	0.233	0.71472	0.15165	0.50014	0.22763	2.0405	0.12	0.3871	0.041299	0.15328
CABLES2	10	0.012543	0.093796	0.811	0.94921	0.92527	0.98016	-0.21795	-1.6279	0.395	0.6661	0.10354	0.27392
CAMK2D	10	0.29485	1.8048	0.046	0.41071	0.071107	0.37425	0.37257	2.2826	0.013	0.11504	0.022453	0.10541
CAMTA2	10	-0.23058	-1.6142	0.265	0.74095	0.10649	0.44266	-0.066928	-0.46872	0.921	0.95855	0.63927	0.77433
CAPG	10	0.26913	1.3719	0.07	0.5035	0.1701	0.52991	0.2354	1.2004	0.105	0.36207	0.22997	0.43227
CAPN7	10	0.08799	0.80009	0.465	0.87571	0.42366	0.77667	0.15227	1.3848	0.264	0.55932	0.16612	0.35565
CASK	10	0.22006	2.0195	0.125	0.59524	0.043432	0.29669	0.30027	2.7557	0.044	0.24044	0.0058564	0.040954
CASP3	10	-0.21054	-2.3556	0.308	0.77778	0.018494	0.21639	0.015829	0.17712	0.729	0.86993	0.85942	0.9241
CASZ1	10	0.2227	1.1936	0.121	0.59524	0.23262	0.59645	0.28315	1.5197	0.055	0.2657	0.12858	0.30614
CBS	10	0.21431	1.5796	0.135	0.59912	0.11419	0.45421	-0.026355	-0.19415	0.902	0.95248	0.84606	0.91697
CBY1	10	0.18395	1.3249	0.18	0.65455	0.18521	0.54376	0.16497	1.1884	0.23	0.53452	0.23469	0.43705
CCDC104	10	0.0077524	0.064991	0.836	0.94921	0.94818	0.98707	-0.31048	-2.6	0.192	0.48855	0.009322	0.056841
CCDC122	10	-0.038512	-0.23753	0.97	0.98682	0.81224	0.94449	0.27216	1.6813	0.07	0.3125	0.09271	0.25681
CCDC132	10	-0.020915	-0.15475	0.954	0.98351	0.87702	0.96695	-0.047397	-0.35072	0.996	0.997	0.7258	0.84691
CCDC157	10	0.046796	0.36668	0.658	0.94676	0.71386	0.90029	0.13621	1.0677	0.316	0.61598	0.28567	0.4875
CCDC173	10	0.12522	1.1816	0.333	0.78723	0.23737	0.60553	0.24933	2.353	0.086	0.3295	0.018625	0.095024
CCDC181	10	0.11954	0.87459	0.348	0.79271	0.3818	0.74474	0.2092	1.5312	0.146	0.42075	0.12571	0.30364
CCDC22	10	0.025429	0.13994	0.753	0.94921	0.8887	0.97339	-0.34831	-1.9159	0.137	0.41018	0.055377	0.18455
CCDC28B	10	-0.089438	-0.73429	0.741	0.94921	0.46277	0.79499	-0.32207	-2.6427	0.171	0.45968	0.0082254	0.051665
CCDC30	10	0.088772	0.65899	0.464	0.87571	0.5099	0.80808	0.16245	1.2065	0.236	0.53452	0.22763	0.43098
CCDC34	10	0.066404	0.76224	0.567	0.92496	0.44592	0.78511	0.03269	0.37538	0.661	0.84097	0.70738	0.83221
CCDC54	10	-0.010437	-0.094299	0.909	0.97647	0.92487	0.98016	-0.021921	-0.19809	0.888	0.95075	0.84297	0.91697
CCDC61	10	-0.069183	-0.72828	0.826	0.94921	0.46644	0.79733	-0.25775	-2.7127	0.297	0.60282	0.0066737	0.044197
CCDC62	10	-0.25425	-2.7783	0.218	0.68553	0.0054637	0.12957	0.084463	0.92361	0.459	0.70661	0.35569	0.55145
CCDC64B	10	0.055797	0.28316	0.621	0.94428	0.77705	0.92968	-0.091113	-0.46212	0.828	0.93251	0.64399	0.77871
CCDC71L	10	-0.45432	-2.9839	0.019	0.26761	0.002846	0.079056	-0.55476	-3.6433	0.031	0.2	0.00026921	0.0035895
CCDC85B	10	-0.092939	-0.78641	0.721	0.94921	0.43163	0.77667	-0.1471	-1.2449	0.617	0.81614	0.21317	0.41392
CCDC92	10	0.078941	0.68247	0.512	0.8931	0.49494	0.80002	0.30048	2.6001	0.044	0.24044	0.0093184	0.056841
CCDC94	10	-0.18981	-0.83543	0.358	0.80493	0.40348	0.76058	-0.79799	-3.4819	0.002	0.034483	0.00049792	0.0062241
CCNA1	10	0.29894	2.0964	0.046	0.41071	0.036044	0.27515	0.15347	1.0762	0.257	0.55508	0.28183	0.48424
CCNA2	10	-0.015432	-0.088423	0.932	0.98115	0.92954	0.98145	-0.33374	-1.908	0.155	0.43417	0.05639	0.18542
CCNE1	10	0.19986	1.8771	0.152	0.62041	0.060506	0.34773	0.07141	0.67067	0.507	0.73907	0.50243	0.68246
CCNK	10	-0.0062941	-0.036178	0.891	0.96638	0.97114	0.98991	-0.49353	-2.8345	0.046	0.24084	0.0045895	0.034585
CCP110	10	0.07115	0.49644	0.542	0.9094	0.61958	0.86187	-0.39953	-2.7849	0.106	0.36301	0.0053552	0.038527
CCPG1	10	0.086956	0.79751	0.469	0.87828	0.42515	0.77667	0.19772	1.8139	0.164	0.44809	0.069691	0.21149
CDC16	10	-0.94126	-3.8721	0	0	0.00010792	0.019771	-1.7434	-7.1189	0	0	1.0877e-12	3.1841e-10
CDC20	10	-0.11146	-0.59972	0.643	0.94428	0.54869	0.83614	-0.38011	-2.0424	0.117	0.3871	0.041116	0.15328
CDC42BPB	10	0.11629	1.2175	0.361	0.8058	0.22341	0.59065	0.21312	2.2314	0.143	0.42075	0.025655	0.11556
CDCA7	10	0.094974	0.82049	0.442	0.86654	0.41193	0.76853	-0.14103	-1.2183	0.633	0.82745	0.22312	0.42826
CDCA8	10	-1.3463	-4.4802	0	0	7.4583e-06	0.0037291	-0.97217	-3.2598	0.002	0.034483	0.0011148	0.012117
CDK20	10	0.13473	1.3719	0.301	0.7659	0.17009	0.52991	0.15858	1.6149	0.248	0.54626	0.10634	0.27698
CDK2	10	-0.25806	-1.7158	0.208	0.67532	0.086192	0.41169	-0.41124	-2.7335	0.094	0.34545	0.0062657	0.042916
CDK5R2	10	0.18971	1.3592	0.166	0.62642	0.17409	0.53239	0.20651	1.48	0.149	0.42571	0.13888	0.32297
CDKN2A	10	-0.060816	-0.48953	0.867	0.96333	0.62447	0.86605	-0.16509	-1.3288	0.561	0.78025	0.18393	0.3769
CEBPE	10	0.075601	0.5031	0.52	0.89501	0.61489	0.85988	-0.12233	-0.8131	0.713	0.86826	0.41616	0.60842
CENPA	10	-0.15334	-0.78226	0.474	0.88268	0.43406	0.77667	-0.33074	-1.6859	0.16	0.44199	0.091823	0.2558
CEP55	10	-0.050354	-0.29702	0.913	0.97647	0.76645	0.92899	-0.4318	-2.5456	0.082	0.32157	0.010908	0.064543
CEP78	10	0.16896	1.6092	0.213	0.68269	0.10757	0.44266	0.077119	0.73451	0.484	0.72131	0.46264	0.64614
CEPT1	10	-0.27274	-2.8867	0.185	0.65493	0.003893	0.099821	-0.21984	-2.3275	0.388	0.66552	0.01994	0.099204
CERS2	10	-0.23291	-1.9721	0.26	0.74074	0.048597	0.30757	-0.10897	-0.92411	0.762	0.88915	0.35543	0.55145
CERS3	10	0.060708	0.43483	0.6	0.9375	0.66369	0.89086	0.26311	1.886	0.077	0.32016	0.059298	0.19067
CERS4	10	0.082185	0.71619	0.496	0.88909	0.47387	0.79809	0.16279	1.4187	0.235	0.53452	0.15597	0.34205
CGREF1	10	0.085023	0.74716	0.482	0.88321	0.45497	0.79259	0.068985	0.60632	0.516	0.74459	0.5443	0.70799
CHD2	10	-0.17583	-1.2679	0.401	0.82992	0.20484	0.57345	0.26592	1.919	0.077	0.32016	0.054978	0.18422
CHD3	10	0.15099	1.2171	0.255	0.73487	0.22358	0.59065	0.31198	2.5164	0.039	0.22674	0.011858	0.068939
CHP1	10	0.15074	1.2251	0.255	0.73487	0.22055	0.58866	-0.19093	-1.5504	0.477	0.71729	0.12104	0.29806
CIB1	10	0.078304	0.82807	0.513	0.8931	0.40763	0.76479	0.17588	1.8603	0.211	0.51905	0.062847	0.19763
CIDEC	10	0.044944	0.36421	0.667	0.9478	0.7157	0.90029	0.011117	0.090106	0.757	0.88863	0.9282	0.96479
CITED1	10	0.25727	1.9645	0.079	0.53378	0.049474	0.31041	0.13586	1.0373	0.319	0.61657	0.2996	0.50269
CITED2	10	0.18023	1.1379	0.188	0.65505	0.25516	0.62847	-0.34119	-2.1478	0.145	0.42075	0.031729	0.1322
CKAP2	10	0.056454	0.40839	0.615	0.94428	0.68299	0.8972	-0.069722	-0.50432	0.914	0.95507	0.61404	0.75066
CKAP5	10	-0.57005	-2.6894	0.002	0.060606	0.0071572	0.14606	-0.86019	-4.0574	0.002	0.034483	4.9626e-05	0.00097306
CLCC1	10	-0.17952	-1.5704	0.388	0.82203	0.11632	0.45579	-0.13799	-1.2075	0.644	0.83312	0.22723	0.43098
CLIC1	10	0.17018	1.6619	0.21	0.67742	0.096539	0.43432	0.30916	3.0193	0.039	0.22674	0.0025339	0.022828
CLK3	10	0.254	2.208	0.083	0.5375	0.027243	0.24851	0.10629	0.92396	0.392	0.6661	0.3555	0.55145
CNOT2	10	0.28423	1.8134	0.053	0.43802	0.069763	0.37306	-0.085703	-0.54658	0.847	0.93488	0.58467	0.73635
COPS5	10	-0.44001	-2.6679	0.027	0.3253	0.0076336	0.1468	-0.67993	-4.1208	0.009	0.10345	3.775e-05	0.00082064
COPS7A	10	-0.066596	-0.51682	0.833	0.94921	0.60528	0.85536	-0.17237	-1.3377	0.538	0.75882	0.181	0.37243
COPS8	10	-0.053212	-0.30414	0.9	0.97192	0.76102	0.92694	-0.39889	-2.2706	0.107	0.36395	0.023169	0.10642
COQ7	10	-0.0052797	-0.041028	0.885	0.96638	0.96727	0.98991	0.021411	0.16643	0.711	0.86826	0.86782	0.93014
CORO2A	10	-0.02563	-0.1662	0.968	0.98675	0.868	0.9623	0.26925	1.7474	0.073	0.32016	0.080566	0.23489
CPE	10	0.079837	0.68547	0.507	0.8931	0.49305	0.80002	0.1148	0.98618	0.372	0.65378	0.32405	0.52504
CPSF7	10	0.13663	0.70543	0.294	0.76562	0.48054	0.79809	-0.50505	-2.5958	0.042	0.23464	0.0094361	0.057188
CPT2	10	0.13729	1.2353	0.294	0.76562	0.21672	0.58866	0.16978	1.5285	0.218	0.51905	0.12638	0.30379
CRBN	10	0.0047625	0.033745	0.845	0.94949	0.97308	0.98991	-0.21994	-1.5576	0.386	0.66437	0.11933	0.29537
CREB3L1	10	-0.056816	-0.38004	0.879	0.96638	0.70392	0.90029	0.048433	0.32408	0.582	0.78755	0.74588	0.86229
