id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
CELF4	5	0.0093436	0.032738	0.786197	39	3	-1.1947	0.51179	0.66293	0.999441	576	2	-1.1947
DUSP11	5	0.0095965	0.033292	0.786197	40	4	-0.87552	0.98926	0.98917	0.999441	979	0	-0.87552
TRAF1	4	0.010237	0.034629	0.786197	41	3	-1.2831	0.85076	0.85103	0.999441	793	0	-1.2831
PCOLCE2	5	0.010261	0.035391	0.786197	42	4	-0.86411	0.98363	0.98353	0.999441	970	0	-0.86411
NOV	5	0.010304	0.03549	0.786197	43	2	1.15	0.089841	0.2136	0.999441	197	3	1.15
ZNRD1AS	3	0.010743	0.027985	0.786197	44	2	-1.0322	0.64672	0.65616	0.999441	669	1	-1.0322
VMN1R74	3	0.011844	0.030856	0.786197	45	3	-0.80928	0.98816	0.98824	0.999441	977	0	-0.80928
GPR157	5	0.011945	0.040272	0.786197	46	3	-0.99093	0.7769	0.81073	0.999441	731	1	-0.99093
OLFR957	4	0.012407	0.041282	0.786197	47	3	-0.72455	0.96702	0.96718	0.999441	944	0	-0.72455
GHR	5	0.012462	0.041748	0.786197	48	2	-0.22859	0.14777	0.30018	0.999441	282	2	-0.22859
FABP4	5	0.01338	0.044381	0.786197	49	2	0.014047	0.55435	0.69868	0.999441	609	2	0.014047
ACTL9	5	0.01354	0.044837	0.786197	50	4	-0.69638	0.99445	0.99445	0.999441	988	0	-0.69638
TLR12	5	0.013665	0.045163	0.786197	51	4	-0.8867	0.62437	0.74554	0.999441	660	1	-0.8867
FBXW21	5	0.013804	0.045559	0.786197	52	4	-0.73792	0.90821	0.90803	0.999441	859	0	-0.73792
AGMO	5	0.014616	0.047906	0.786197	53	4	-0.68377	0.79742	0.82181	0.999441	747	1	-0.68377
DNAJB11	5	0.015359	0.050124	0.786197	54	3	-0.51962	0.12011	0.25888	0.999441	243	1	-0.51962
NLRP5	5	0.015409	0.050238	0.786197	55	4	-0.77713	0.97433	0.9742	0.999441	956	0	-0.77713
FBXO24	5	0.01551	0.05046	0.786197	56	4	-0.65099	0.97792	0.97756	0.999441	961	0	-0.65099
OLFR971	4	0.015803	0.049787	0.786197	57	3	-0.724	0.20029	0.34587	0.999441	333	1	-0.724
DENND3	5	0.015817	0.051332	0.786197	58	4	-0.6707	0.99479	0.9949	0.999441	990	0	-0.6707
MBD6	5	0.015921	0.051649	0.786197	59	4	-0.76088	0.80238	0.82454	0.999441	752	1	-0.76088
RND3	4	0.016021	0.050243	0.786197	60	1	0.42061	0.19374	0.33961	0.999441	327	2	0.42061
KLHL3	5	0.016801	0.053995	0.786197	61	3	-0.37193	0.24375	0.43688	0.999441	378	1	-0.37193
ZFP161	5	0.016979	0.05452	0.786197	62	4	-0.78478	0.85493	0.85992	0.999441	794	1	-0.78478
EVI5L	5	0.017017	0.05455	0.786197	63	3	-0.58261	0.12926	0.27271	0.999441	257	2	-0.58261
CFD	5	0.017139	0.054955	0.786197	64	3	-0.75721	0.27854	0.4732	0.999441	406	2	-0.75721
ACCSL	5	0.017417	0.055708	0.786197	65	4	-0.63817	0.98456	0.98447	0.999441	973	0	-0.63817
HBB-BH2	3	0.017529	0.044955	0.786197	66	2	-0.95419	0.89922	0.89948	0.999441	842	0	-0.95419
KLHL8	5	0.018302	0.058233	0.786197	67	3	-0.63338	0.50882	0.66056	0.999441	574	1	-0.63338
ENKUR	5	0.018602	0.059074	0.786197	68	4	-0.73394	0.99252	0.99209	0.999441	982	0	-0.73394
NDST3	5	0.018834	0.059649	0.786197	69	4	-0.77935	0.928	0.92848	0.999441	887	0	-0.77935
9930021D14RIK	5	0.019423	0.061163	0.786197	70	3	-0.80007	0.56439	0.70725	0.999441	621	1	-0.80007
9430038I01RIK	2	0.020324	0.037678	0.786197	71	2	-0.8815	0.97968	0.97922	0.999441	965	0	-0.8815
TOX2	4	0.020326	0.059342	0.786197	72	3	-0.86538	0.97363	0.97422	0.999441	954	0	-0.86538
TAS2R108	3	0.020599	0.052639	0.786197	73	3	-0.65528	0.9794	0.97938	0.999441	963	0	-0.65528
TACC3	5	0.020859	0.065342	0.786197	74	4	-0.76005	0.46872	0.62684	0.999441	539	1	-0.76005
SETDB2	5	0.020931	0.06549	0.786197	75	2	-0.053603	0.2306	0.41884	0.999441	359	2	-0.053603
MMP11	5	0.021058	0.065827	0.786197	76	3	-0.70351	0.8924	0.89233	0.999441	835	1	-0.70351
WNT9A	5	0.021111	0.065926	0.786197	77	2	-0.195	0.80913	0.82884	0.999441	757	1	-0.195
2900011O08RIK	4	0.021181	0.061292	0.786197	78	2	-0.80062	0.92928	0.92827	0.999441	888	0	-0.80062
AGPAT1	5	0.021293	0.066411	0.786197	79	3	-1.1448	0.15874	0.31632	0.999441	294	2	-1.1448
OLFR101	4	0.021897	0.062658	0.786197	80	3	-0.66219	0.95982	0.95941	0.999441	935	0	-0.66219
OLFR374	5	0.022128	0.068668	0.786847	81	2	-0.29444	0.4772	0.634	0.999441	545	1	-0.29444
SNX20	5	0.022167	0.068777	0.786847	82	3	-1.2696	0.16253	0.3222	0.999441	300	2	-1.2696
ZMAT4	5	0.022336	0.069243	0.786847	83	4	-0.8249	0.99343	0.99326	0.999441	984	0	-0.8249
OLFR479	3	0.022555	0.057084	0.786197	84	2	-0.9958	0.71038	0.71312	0.999441	700	1	-0.9958
PRTN3	5	0.023197	0.071589	0.79158	85	2	0.00076149	0.1077	0.24108	0.999441	227	2	0.00076149
YWHAE	4	0.023219	0.06553	0.786197	86	3	-0.72387	0.8953	0.89449	0.999441	838	0	-0.72387
SDHAF2	3	0.02374	0.059777	0.786197	87	2	-1.393	0.58915	0.61119	0.999441	642	1	-1.393
PDE1A	5	0.023919	0.073401	0.79158	88	4	-0.63176	0.99389	0.99378	0.999441	986	0	-0.63176
MYLK4	5	0.024265	0.074322	0.79158	89	2	-0.20744	0.32255	0.50889	0.999441	442	1	-0.20744
SPP2	5	0.025112	0.07649	0.79158	90	4	-0.62541	0.98369	0.98358	0.999441	971	0	-0.62541
KLRD1	3	0.025795	0.06446	0.786197	91	3	-0.63474	0.9742	0.97411	0.999441	955	0	-0.63474
VMN1R80	4	0.026591	0.072926	0.79158	92	3	-0.63599	0.93011	0.92913	0.999441	889	0	-0.63599
PRR5	5	0.026702	0.080748	0.79158	93	3	-0.64964	0.5486	0.69385	0.999441	601	2	-0.64964
SLC34A2	5	0.026867	0.081203	0.79158	94	4	-0.7414	0.99057	0.99008	0.999441	981	0	-0.7414
OLFR434	3	0.026894	0.066827	0.786197	95	3	-0.46286	0.97311	0.97307	0.999441	953	0	-0.46286
APOE	5	0.027465	0.083015	0.79158	96	4	-0.81723	0.75066	0.79693	0.999441	720	1	-0.81723
SESN1	5	0.027738	0.083757	0.79158	97	4	-0.70136	0.91418	0.91474	0.999441	867	0	-0.70136
RC3H1	5	0.027889	0.084114	0.79158	98	3	-0.85124	0.94225	0.94283	0.999441	909	0	-0.85124
GRAMD1C	5	0.028076	0.084579	0.79158	99	2	-0.090752	0.08032	0.1982	0.999441	188	2	-0.090752
SLC25A19	5	0.02853	0.085728	0.79158	100	1	0.38684	0.037417	0.10912	0.89082	112	4	0.38684
PDILT	5	0.02855	0.085767	0.79158	101	4	-0.49894	0.47069	0.62845	0.999441	541	1	-0.49894
AK8	5	0.028771	0.086282	0.79158	102	3	-0.85433	0.98794	0.98793	0.999441	976	0	-0.85433
SLITRK2	5	0.029593	0.088351	0.794387	103	2	0.43542	0.2032	0.38029	0.999441	336	3	0.43542
LTV1	4	0.029665	0.07952	0.79158	104	2	-0.31699	0.30455	0.4494	0.999441	430	2	-0.31699
BEX6	4	0.030332	0.080757	0.79158	105	2	-0.48722	0.76145	0.77192	0.999441	724	1	-0.48722
CMAS	5	0.030589	0.091114	0.794387	106	3	-0.49869	0.93906	0.9399	0.999441	903	0	-0.49869
MRGPRB8	5	0.030656	0.091282	0.794387	107	1	-0.16133	0.8885	0.88857	0.999441	828	1	-0.16133
OLFR1387	4	0.030972	0.082213	0.79158	108	3	-0.95729	0.90445	0.90325	0.999441	850	0	-0.95729
EPB4.1L3	5	0.031712	0.093738	0.794387	109	4	-0.50023	0.96392	0.96415	0.999441	941	0	-0.50023
MON1A	5	0.031718	0.093738	0.794387	110	3	-0.36062	0.022211	0.069817	0.775743	85	2	-0.36062
AKAP9	4	0.031855	0.083995	0.79158	111	2	-0.6968	0.81052	0.81227	0.999441	758	1	-0.6968
RPAIN	5	0.032779	0.096629	0.803293	112	2	-0.1317	0.1226	0.2628	0.999441	247	2	-0.1317
SIGLECG	5	0.033308	0.097985	0.803293	113	3	-0.77576	0.063383	0.17139	0.966987	168	2	-0.77576
SIRT2	5	0.033839	0.099302	0.803293	114	2	0.18125	0.36661	0.54509	0.999441	472	2	0.18125
OLFR389	3	0.034048	0.082787	0.79158	115	3	-0.58135	0.96595	0.9657	0.999441	942	0	-0.58135
LGALS3BP	5	0.035208	0.10274	0.803293	116	4	-0.5226	0.53477	0.6821	0.999441	593	1	-0.5226
P2RY6	4	0.035513	0.091322	0.794387	117	3	-0.85662	0.90828	0.90703	0.999441	860	0	-0.85662
VMN1R237	5	0.035883	0.1046	0.803293	118	4	-0.48934	0.96813	0.96835	0.999441	946	0	-0.48934
TAAR7D	4	0.035909	0.092104	0.794387	119	3	-0.83293	0.90127	0.90032	0.999441	848	0	-0.83293
KLK13	5	0.035956	0.10484	0.803293	120	1	0.5302	0.037013	0.10818	0.89082	111	3	0.5302
CERKL	5	0.035979	0.10489	0.803293	121	3	-0.96609	0.98474	0.98466	0.999441	974	0	-0.96609
CHL1	5	0.036066	0.10505	0.803293	122	4	-0.70249	0.92747	0.92796	0.999441	884	0	-0.70249
OLFR484	3	0.036184	0.087876	0.794387	123	3	-0.65296	0.96382	0.96372	0.999441	940	0	-0.65296
C030006K11RIK	5	0.036425	0.10603	0.803293	124	3	-0.87505	0.5719	0.71366	0.999441	627	1	-0.87505
RBFOX3	4	0.036518	0.093371	0.794387	125	2	-0.26852	0.92637	0.92552	0.999441	882	0	-0.26852
FMN1	5	0.037013	0.10764	0.80404	126	2	-0.36364	0.85827	0.86255	0.999441	798	1	-0.36364
AMBN	5	0.038069	0.11004	0.80404	127	4	-0.80239	0.94719	0.94741	0.999441	915	0	-0.80239
REG3G	5	0.038112	0.11015	0.80404	128	3	-0.66884	0.82749	0.84084	0.999441	768	1	-0.66884
SFTPA1	4	0.038858	0.097985	0.803293	129	3	-0.73531	0.94039	0.93953	0.999441	907	0	-0.73531
RAB3A	4	0.039057	0.098312	0.803293	130	1	0.011085	0.23437	0.37947	0.999441	362	1	0.011085
SMAP1	5	0.039305	0.11327	0.804339	131	3	-0.65433	0.20165	0.37824	0.999441	334	2	-0.65433
MCM3AP	5	0.040101	0.11518	0.804339	132	2	0.34027	0.053339	0.14907	0.966987	146	2	0.34027
UVRAG	5	0.040179	0.11535	0.804339	133	2	-0.32967	0.93164	0.93225	0.999441	893	0	-0.32967
HSP90AA1	4	0.040334	0.1011	0.803293	134	2	-0.33602	0.71599	0.73973	0.999441	703	1	-0.33602
SYNE2	5	0.04052	0.11617	0.804339	135	3	-0.67568	0.26822	0.46531	0.999441	401	2	-0.67568
FBXO2	5	0.041232	0.11846	0.804339	136	2	0.4396	0.23438	0.4241	0.999441	363	3	0.4396
RAB11FIP2	5	0.041525	0.11917	0.804339	137	4	-0.49952	0.78306	0.814	0.999441	736	1	-0.49952
DOCK11	5	0.041626	0.11946	0.804339	138	4	-0.5387	0.96236	0.9628	0.999441	939	0	-0.5387
COL4A5	5	0.041792	0.11976	0.804339	139	2	0.099027	0.56745	0.70967	0.999441	622	2	0.099027
SLC7A3	5	0.04183	0.11985	0.804339	140	4	-0.45344	0.7503	0.79674	0.999441	719	1	-0.45344
IFNA2	2	0.042056	0.075609	0.79158	141	2	-0.53417	0.95794	0.95771	0.999441	932	0	-0.53417
APOL10A	4	0.042435	0.10531	0.803293	142	3	-0.51451	0.8316	0.83192	0.999441	773	1	-0.51451
ATG4B	5	0.042753	0.12236	0.805972	143	4	-0.43284	0.92606	0.92661	0.999441	881	0	-0.43284
SIRT5	5	0.043221	0.1236	0.805972	144	4	-0.52282	0.99458	0.99466	0.999441	989	0	-0.52282
PDE9A	5	0.044008	0.1254	0.805972	145	2	0.19077	0.3588	0.53854	0.999441	465	2	0.19077
NRIP1	5	0.044257	0.126	0.805972	146	3	-0.69442	0.84404	0.852	0.999441	785	1	-0.69442
0610031J06RIK	5	0.04444	0.12645	0.805972	147	3	-0.8336	0.97937	0.97899	0.999441	962	0	-0.8336
FAM83C	5	0.04475	0.127	0.805972	148	4	-0.60464	0.77805	0.81122	0.999441	732	1	-0.60464
FAM46D	5	0.044963	0.12751	0.805972	149	4	-0.44933	0.93813	0.93892	0.999441	902	0	-0.44933
1700016C15RIK	5	0.045512	0.12896	0.805972	150	2	-0.16266	0.95685	0.95745	0.999441	930	0	-0.16266
ZFP235	4	0.046645	0.11337	0.804339	151	1	0.033633	0.91284	0.91161	0.999441	866	0	0.033633
4833442J19RIK	5	0.047071	0.13315	0.822607	152	3	-0.93678	0.35271	0.53365	0.999441	462	1	-0.93678
RAVER1	5	0.047817	0.13506	0.828616	153	3	-0.74936	0.26643	0.46386	0.999441	397	2	-0.74936
FLYWCH2	3	0.047896	0.10899	0.80404	154	1	-0.31009	0.91911	0.91908	0.999441	870	0	-0.31009
ITGB8	5	0.048582	0.13705	0.830633	155	2	-0.13909	0.10477	0.23633	0.999441	221	1	-0.13909
OLFR878	5	0.049274	0.13882	0.831239	156	4	-0.3788	0.97947	0.97909	0.999441	964	0	-0.3788
MAGEA10	5	0.050019	0.14062	0.832064	157	4	-0.3966	0.99483	0.99496	0.999441	991	0	-0.3966
TRPM4	5	0.050539	0.14199	0.832465	158	4	-0.51238	0.80059	0.8236	0.999441	750	1	-0.51238
OAS3	5	0.050672	0.14235	0.832465	159	2	-0.44795	0.39318	0.5661	0.999441	488	1	-0.44795
ZFP648	5	0.051716	0.14423	0.836521	160	3	-0.46041	0.52207	0.67169	0.999441	585	2	-0.46041
TAS2R124	5	0.052596	0.14582	0.836521	161	3	-0.65871	0.81144	0.83034	0.999441	759	1	-0.65871
OLFR65	5	0.052913	0.14639	0.836521	162	3	-0.5758	0.53917	0.68602	0.999441	597	2	-0.5758
GM933	4	0.053352	0.12654	0.805972	163	2	-0.10338	0.13736	0.27988	0.999441	269	2	-0.10338
GLI3	5	0.053609	0.14772	0.839306	164	3	-0.62066	0.98565	0.98556	0.999441	975	0	-0.62066
MYCBP	4	0.054188	0.12841	0.805972	165	2	-0.27672	0.20691	0.35194	0.999441	338	1	-0.27672
LTBP2	5	0.055818	0.15117	0.845419	166	3	-0.53546	0.54089	0.68749	0.999441	599	2	-0.53546
OBOX3	3	0.056094	0.1211	0.805972	167	2	-0.32331	0.80108	0.8021	0.999441	751	0	-0.32331
TAS2R119	4	0.056693	0.13326	0.822607	168	1	-0.21592	0.79439	0.79804	0.999441	742	1	-0.21592
ARMCX5	5	0.056886	0.15298	0.845419	169	2	-0.19266	0.97201	0.97178	0.999441	952	0	-0.19266
OLFR761	2	0.056889	0.10082	0.803293	170	1	-0.50222	0.77068	0.76786	0.999441	728	0	-0.50222
ZFP157	5	0.056924	0.15303	0.845419	171	2	-0.15057	0.062626	0.17004	0.966987	164	2	-0.15057
SYN1	5	0.057303	0.15368	0.845419	172	3	-0.72399	0.97766	0.97734	0.999441	960	0	-0.72399
MOG	5	0.05744	0.15387	0.845419	173	2	0.45932	0.12796	0.27073	0.999441	254	3	0.45932
2610020H08RIK	5	0.059001	0.1562	0.853568	174	3	-0.62575	0.96861	0.96879	0.999441	948	0	-0.62575
OLFR1206	4	0.059192	0.138	0.831239	175	3	-0.53547	0.89674	0.89589	0.999441	840	0	-0.53547
CCT6B	5	0.059828	0.15756	0.856301	176	3	-0.61533	0.082619	0.20198	0.999441	189	1	-0.61533
B4GALT2	5	0.061073	0.15958	0.857884	177	1	0.49384	0.060241	0.16445	0.966987	157	3	0.49384
ADAMTS16	5	0.062108	0.16116	0.857884	178	2	-0.17693	0.30523	0.49449	0.999441	431	1	-0.17693
DLK2	5	0.062153	0.16128	0.857884	179	3	-0.7212	0.29294	0.48491	0.999441	420	2	-0.7212
GM4871	4	0.063197	0.14551	0.836521	180	3	-0.60012	0.31577	0.46095	0.999441	438	1	-0.60012
AI836003	5	0.065208	0.16617	0.864827	181	1	0.33571	0.21422	0.39549	0.999441	346	2	0.33571
AA467197	3	0.066504	0.13594	0.828876	182	2	-0.89755	0.94846	0.94836	0.999441	919	0	-0.89755
DCBLD2	5	0.066862	0.16898	0.864827	183	3	-0.73251	0.85747	0.86182	0.999441	797	1	-0.73251
4930511M11RIK	5	0.067589	0.1701	0.864827	184	3	-0.59532	0.39004	0.56358	0.999441	486	2	-0.59532
CAR13	5	0.068956	0.17233	0.864827	185	2	-0.28001	0.93316	0.9338	0.999441	895	0	-0.28001
SEZ6	5	0.069329	0.17297	0.864827	186	2	0.24912	0.52224	0.67185	0.999441	586	1	0.24912
GAMT	5	0.071055	0.17597	0.875449	187	2	-0.42582	0.59668	0.73501	0.999441	648	2	-0.42582
WDR34	5	0.071763	0.17708	0.876654	188	3	-0.6584	0.9512	0.95148	0.999441	923	0	-0.6584
GM10334	1	0.073078	0.073619	0.79158	189	1	-1.1397	0.92692	0.92748	0.999441	883	0	-1.1397
TRIB3	4	0.073262	0.16443	0.864827	190	2	-0.58161	0.84535	0.84576	0.999441	788	0	-0.58161
ANO3	5	0.074458	0.18147	0.88956	191	1	0.040525	0.1333	0.27859	0.999441	261	2	0.040525
DNAJC8	4	0.074906	0.16751	0.864827	192	1	0.99249	0.036008	0.094748	0.89082	110	3	0.99249
CHD3	5	0.076252	0.1844	0.891735	193	2	-0.25264	0.42185	0.58926	0.999441	510	2	-0.25264
APOL7A	4	0.076549	0.17107	0.864827	194	3	-0.5453	0.59053	0.66904	0.999441	644	1	-0.5453
KLRA4	3	0.077931	0.1516	0.845419	195	2	-0.60294	0.92414	0.92402	0.999441	879	0	-0.60294
KHDRBS3	5	0.079566	0.18978	0.91049	196	2	-0.47646	0.9766	0.9763	0.999441	959	0	-0.47646
FAM19A2	5	0.080426	0.1912	0.91049	197	3	-0.61346	0.92338	0.92376	0.999441	877	0	-0.61346
TBC1D12	4	0.082804	0.1827	0.89121	198	2	-0.86693	0.94779	0.94705	0.999441	917	0	-0.86693
TMEM198	5	0.083022	0.19563	0.916409	199	2	0.13681	0.7025	0.77497	0.999441	697	1	0.13681
VMN1R78	5	0.083502	0.19636	0.916409	200	3	-0.59185	0.87876	0.88014	0.999441	819	1	-0.59185
MTHFR	5	0.083635	0.1966	0.916409	201	2	-0.0045319	0.68518	0.76843	0.999441	689	1	-0.0045319
SERPINA1D	4	0.083733	0.18459	0.891735	202	3	-0.54289	0.81584	0.81723	0.999441	762	1	-0.54289
NMI	5	0.084083	0.19737	0.916409	203	3	-0.63006	0.70126	0.77442	0.999441	696	1	-0.63006
SYT7	5	0.085115	0.199	0.916409	204	3	-0.74714	0.32624	0.51189	0.999441	445	2	-0.74714
FBXO31	5	0.085322	0.19928	0.916409	205	3	-0.8772	0.9453	0.9457	0.999441	914	0	-0.8772
FRS3	5	0.085665	0.19978	0.916409	206	2	-0.064219	0.25884	0.45763	0.999441	393	2	-0.064219
OLFR993	4	0.087182	0.19104	0.91049	207	2	-0.31706	0.069965	0.15984	0.966987	175	1	-0.31706
OLFR1170	3	0.087887	0.1653	0.864827	208	2	-0.64706	0.60183	0.62113	0.999441	651	1	-0.64706
CTTNBP2NL	5	0.089016	0.20546	0.928075	209	2	-0.21065	0.66571	0.76066	0.999441	677	1	-0.21065
A830018L16RIK	4	0.089271	0.19478	0.916409	210	3	-0.53	0.88046	0.88068	0.999441	821	0	-0.53
SYTL5	5	0.089628	0.20666	0.928075	211	3	-0.59853	0.92366	0.92403	0.999441	878	0	-0.59853
GHITM	5	0.089713	0.2068	0.928075	212	2	-0.022328	0.57024	0.71225	0.999441	626	1	-0.022328
GM11487	3	0.090439	0.1691	0.864827	213	2	-0.71098	0.93483	0.93444	0.999441	897	0	-0.71098
VSNL1	5	0.090589	0.2083	0.928075	214	3	-0.75222	0.82909	0.84175	0.999441	769	1	-0.75222
CKM	5	0.09091	0.20882	0.928075	215	3	-0.63797	0.28665	0.47995	0.999441	413	2	-0.63797
TRIM35	5	0.091987	0.21063	0.929308	216	3	-0.50724	0.48908	0.64352	0.999441	556	1	-0.50724
OLFR1105	5	0.092652	0.2118	0.929308	217	2	-0.23974	0.80475	0.82609	0.999441	754	1	-0.23974
MINPP1	3	0.093021	0.17294	0.864827	218	2	-0.73355	0.54058	0.57704	0.999441	598	1	-0.73355
FTSJD1	4	0.093509	0.20253	0.924793	219	2	-0.59177	0.69707	0.72781	0.999441	692	1	-0.59177
SLC16A4	5	0.093746	0.21393	0.929308	220	2	-0.24922	0.84563	0.85314	0.999441	789	1	-0.24922
ACOT12	5	0.094992	0.21587	0.929308	221	2	0.62835	0.10787	0.24133	0.999441	228	3	0.62835
OXNAD1	5	0.096002	0.21734	0.929308	222	2	-0.15654	0.21637	0.39869	0.999441	349	1	-0.15654
CAR7	5	0.096677	0.21846	0.929308	223	3	-0.50293	0.3442	0.52662	0.999441	456	1	-0.50293
KRTAP9-5	5	0.096762	0.21858	0.929308	224	2	-0.0061303	0.88925	0.88914	0.999441	829	1	-0.0061303
PLIN2	4	0.097006	0.20851	0.928075	225	2	-0.47751	0.53187	0.64045	0.999441	591	1	-0.47751
ALX4	5	0.097693	0.22009	0.929308	226	3	-0.37184	0.36036	0.54003	0.999441	468	2	-0.37184
MYOF	5	0.097766	0.22022	0.929308	227	1	-0.27297	0.90302	0.90271	0.999441	849	0	-0.27297
AVEN	3	0.098274	0.18015	0.887455	228	2	-0.67056	0.95307	0.95283	0.999441	925	0	-0.67056
EI24	5	0.098694	0.22179	0.929308	229	3	-0.53272	0.89654	0.89614	0.999441	839	1	-0.53272
JDP2	5	0.098768	0.22192	0.929308	230	3	-0.51945	0.50784	0.65974	0.999441	572	2	-0.51945
IL12A	2	0.098997	0.1701	0.864827	231	2	-0.48091	0.901	0.89996	0.999441	847	0	-0.48091
AXIN2	5	0.099395	0.22295	0.929308	232	2	-0.41401	0.12352	0.26414	0.999441	248	2	-0.41401
PLXNA4	5	0.099593	0.22322	0.929308	233	3	-0.62425	0.37992	0.55598	0.999441	480	1	-0.62425
PPPDE1	4	0.10151	0.21708	0.929308	234	3	-0.39744	0.94368	0.94278	0.999441	911	0	-0.39744
WISP2	5	0.10177	0.22597	0.929308	235	2	0.35779	0.24425	0.43746	0.999441	380	3	0.35779
ZFP109	5	0.10335	0.22839	0.929308	236	3	-0.37968	0.95283	0.95312	0.999441	924	0	-0.37968
CYB5	5	0.10369	0.22896	0.929308	237	3	-0.68096	0.82112	0.83642	0.999441	764	1	-0.68096
CRB1	5	0.10415	0.22961	0.929308	238	3	-0.49978	0.83791	0.84754	0.999441	779	1	-0.49978
